country,country_name,year,sdg_mentions,total_mentions
KOR,Republic of Korea,1998,"{'1': 1, '2': 0, '3': 1, '4': 4, '5': 0, '6': 0, '7': 2, '8': 4, '9': 6, '10': 7, '11': 0, '12': 0, '13': 3, '14': 2, '15': 0, '16': 33, '17': 1}",64
COG,Congo,1999,"{'1': 2, '2': 0, '3': 0, '4': 16, '5': 0, '6': 0, '7': 0, '8': 2, '9': 1, '10': 6, '11': 1, '12': 0, '13': 1, '14': 0, '15': 0, '16': 33, '17': 2}",64
KOR,Republic of Korea,1999,"{'1': 7, '2': 2, '3': 6, '4': 9, '5': 1, '6': 0, '7': 4, '8': 2, '9': 8, '10': 8, '11': 0, '12': 0, '13': 1, '14': 1, '15': 1, '16': 36, '17': 0}",86
COG,Congo,2000,"{'1': 1, '2': 0, '3': 2, '4': 5, '5': 1, '6': 0, '7': 0, '8': 1, '9': 5, '10': 2, '11': 1, '12': 0, '13': 2, '14': 0, '15': 0, '16': 10, '17': 1}",31
KOR,Republic of Korea,2000,"{'1': 1, '2': 0, '3': 0, '4': 8, '5': 4, '6': 0, '7': 0, '8': 2, '9': 6, '10': 5, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 22, '17': 1}",50
COG,Congo,2001,"{'1': 5, '2': 1, '3': 0, '4': 13, '5': 1, '6': 1, '7': 0, '8': 0, '9': 2, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 28, '17': 0}",53
KOR,Republic of Korea,2001,"{'1': 6, '2': 0, '3': 1, '4': 17, '5': 1, '6': 0, '7': 0, '8': 0, '9': 2, '10': 6, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 43, '17': 0}",76
COG,Congo,2002,"{'1': 5, '2': 0, '3': 0, '4': 12, '5': 0, '6': 0, '7': 0, '8': 3, '9': 0, '10': 0, '11': 2, '12': 0, '13': 2, '14': 2, '15': 2, '16': 22, '17': 3}",53
KOR,Republic of Korea,2002,"{'1': 0, '2': 0, '3': 0, '4': 13, '5': 1, '6': 1, '7': 1, '8': 1, '9': 2, '10': 2, '11': 1, '12': 1, '13': 1, '14': 0, '15': 0, '16': 28, '17': 2}",54
COG,Congo,2003,"{'1': 2, '2': 0, '3': 0, '4': 19, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 5, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 48, '17': 2}",78
KOR,Republic of Korea,2003,"{'1': 2, '2': 0, '3': 3, '4': 10, '5': 0, '6': 0, '7': 1, '8': 2, '9': 0, '10': 4, '11': 2, '12': 0, '13': 0, '14': 0, '15': 0, '16': 40, '17': 1}",65
COG,Congo,2004,"{'1': 3, '2': 0, '3': 0, '4': 11, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 5, '11': 0, '12': 0, '13': 0, '14': 1, '15': 1, '16': 15, '17': 1}",40
KOR,Republic of Korea,2004,"{'1': 4, '2': 0, '3': 2, '4': 8, '5': 0, '6': 0, '7': 4, '8': 0, '9': 0, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 33, '17': 0}",53
COG,Congo,2005,"{'1': 0, '2': 0, '3': 1, '4': 7, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 4, '11': 0, '12': 0, '13': 0, '14': 2, '15': 4, '16': 20, '17': 0}",38
KOR,Republic of Korea,2005,"{'1': 2, '2': 0, '3': 1, '4': 11, '5': 2, '6': 0, '7': 3, '8': 1, '9': 1, '10': 5, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 43, '17': 3}",73
COG,Congo,2006,"{'1': 0, '2': 0, '3': 0, '4': 12, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 5, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 21, '17': 0}",40
KOR,Republic of Korea,2006,"{'1': 2, '2': 0, '3': 1, '4': 5, '5': 4, '6': 0, '7': 1, '8': 0, '9': 1, '10': 4, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 31, '17': 5}",54
COG,Congo,2007,"{'1': 1, '2': 0, '3': 0, '4': 9, '5': 0, '6': 0, '7': 1, '8': 2, '9': 0, '10': 3, '11': 0, '12': 1, '13': 5, '14': 1, '15': 4, '16': 16, '17': 0}",43
KOR,Republic of Korea,2007,"{'1': 1, '2': 0, '3': 1, '4': 12, '5': 1, '6': 0, '7': 5, '8': 0, '9': 1, '10': 1, '11': 0, '12': 0, '13': 2, '14': 0, '15': 0, '16': 32, '17': 3}",59
COG,Congo,2008,"{'1': 1, '2': 0, '3': 1, '4': 12, '5': 2, '6': 0, '7': 1, '8': 3, '9': 1, '10': 4, '11': 3, '12': 0, '13': 6, '14': 0, '15': 2, '16': 24, '17': 3}",63
KOR,Republic of Korea,2008,"{'1': 2, '2': 3, '3': 2, '4': 5, '5': 0, '6': 0, '7': 4, '8': 8, '9': 2, '10': 2, '11': 3, '12': 0, '13': 14, '14': 0, '15': 0, '16': 21, '17': 4}",70
COG,Congo,2009,"{'1': 0, '2': 2, '3': 0, '4': 8, '5': 1, '6': 2, '7': 3, '8': 2, '9': 1, '10': 3, '11': 2, '12': 0, '13': 11, '14': 4, '15': 11, '16': 10, '17': 1}",61
KOR,Republic of Korea,2009,"{'1': 1, '2': 1, '3': 0, '4': 5, '5': 0, '6': 16, '7': 2, '8': 9, '9': 3, '10': 4, '11': 1, '12': 0, '13': 12, '14': 1, '15': 1, '16': 16, '17': 4}",76
COG,Congo,2010,"{'1': 2, '2': 0, '3': 0, '4': 9, '5': 2, '6': 0, '7': 1, '8': 0, '9': 1, '10': 7, '11': 0, '12': 0, '13': 5, '14': 6, '15': 9, '16': 28, '17': 0}",70
KOR,Republic of Korea,2010,"{'1': 1, '2': 0, '3': 3, '4': 6, '5': 4, '6': 0, '7': 3, '8': 9, '9': 3, '10': 2, '11': 2, '12': 0, '13': 2, '14': 0, '15': 0, '16': 16, '17': 3}",54
COG,Congo,2011,"{'1': 1, '2': 0, '3': 2, '4': 8, '5': 0, '6': 3, '7': 2, '8': 4, '9': 0, '10': 2, '11': 4, '12': 0, '13': 8, '14': 4, '15': 16, '16': 19, '17': 1}",74
KOR,Republic of Korea,2011,"{'1': 4, '2': 0, '3': 0, '4': 9, '5': 0, '6': 0, '7': 6, '8': 15, '9': 4, '10': 4, '11': 4, '12': 0, '13': 6, '14': 2, '15': 2, '16': 47, '17': 8}",111
COG,Congo,2012,"{'1': 2, '2': 0, '3': 1, '4': 12, '5': 0, '6': 0, '7': 2, '8': 8, '9': 0, '10': 4, '11': 7, '12': 1, '13': 3, '14': 0, '15': 0, '16': 32, '17': 0}",72
KOR,Republic of Korea,2012,"{'1': 1, '2': 0, '3': 0, '4': 4, '5': 4, '6': 0, '7': 0, '8': 6, '9': 1, '10': 0, '11': 4, '12': 0, '13': 3, '14': 0, '15': 0, '16': 35, '17': 1}",59
COG,Congo,2013,"{'1': 3, '2': 1, '3': 1, '4': 10, '5': 0, '6': 0, '7': 3, '8': 7, '9': 2, '10': 6, '11': 6, '12': 3, '13': 7, '14': 1, '15': 9, '16': 19, '17': 0}",78
KOR,Republic of Korea,2013,"{'1': 1, '2': 0, '3': 1, '4': 12, '5': 1, '6': 0, '7': 0, '8': 0, '9': 1, '10': 7, '11': 0, '12': 0, '13': 4, '14': 0, '15': 0, '16': 37, '17': 5}",69
COG,Congo,2014,"{'1': 1, '2': 0, '3': 2, '4': 6, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 2, '11': 0, '12': 0, '13': 9, '14': 4, '15': 3, '16': 20, '17': 1}",48
KOR,Republic of Korea,2014,"{'1': 5, '2': 0, '3': 0, '4': 13, '5': 4, '6': 0, '7': 2, '8': 2, '9': 1, '10': 6, '11': 2, '12': 0, '13': 9, '14': 3, '15': 3, '16': 45, '17': 0}",95
COG,Congo,2015,"{'1': 1, '2': 0, '3': 0, '4': 14, '5': 0, '6': 0, '7': 0, '8': 3, '9': 1, '10': 5, '11': 3, '12': 0, '13': 2, '14': 0, '15': 0, '16': 23, '17': 1}",53
KOR,Republic of Korea,2015,"{'1': 3, '2': 0, '3': 2, '4': 24, '5': 6, '6': 0, '7': 2, '8': 4, '9': 1, '10': 6, '11': 4, '12': 0, '13': 9, '14': 0, '15': 0, '16': 56, '17': 0}",117
COG,Congo,2016,"{'1': 1, '2': 0, '3': 1, '4': 5, '5': 2, '6': 0, '7': 1, '8': 6, '9': 1, '10': 5, '11': 6, '12': 0, '13': 2, '14': 0, '15': 0, '16': 13, '17': 0}",43
KOR,Republic of Korea,2016,"{'1': 1, '2': 0, '3': 1, '4': 5, '5': 3, '6': 0, '7': 1, '8': 5, '9': 0, '10': 3, '11': 5, '12': 0, '13': 6, '14': 0, '15': 0, '16': 22, '17': 0}",52
COG,Congo,2017,"{'1': 2, '2': 0, '3': 1, '4': 9, '5': 2, '6': 0, '7': 0, '8': 0, '9': 1, '10': 1, '11': 0, '12': 0, '13': 7, '14': 1, '15': 1, '16': 19, '17': 0}",44
KOR,Republic of Korea,2017,"{'1': 0, '2': 0, '3': 0, '4': 27, '5': 3, '6': 0, '7': 1, '8': 3, '9': 0, '10': 3, '11': 1, '12': 0, '13': 4, '14': 0, '15': 0, '16': 39, '17': 0}",81
COG,Congo,2018,"{'1': 1, '2': 0, '3': 0, '4': 15, '5': 2, '6': 1, '7': 0, '8': 2, '9': 0, '10': 3, '11': 1, '12': 0, '13': 6, '14': 1, '15': 3, '16': 24, '17': 0}",59
KOR,Republic of Korea,2018,"{'1': 0, '2': 0, '3': 1, '4': 33, '5': 7, '6': 0, '7': 5, '8': 2, '9': 0, '10': 3, '11': 2, '12': 0, '13': 4, '14': 0, '15': 1, '16': 39, '17': 0}",97
COG,Congo,2019,"{'1': 1, '2': 0, '3': 1, '4': 12, '5': 0, '6': 0, '7': 0, '8': 3, '9': 0, '10': 7, '11': 3, '12': 0, '13': 2, '14': 3, '15': 3, '16': 16, '17': 0}",51
KOR,Republic of Korea,2019,"{'1': 0, '2': 0, '3': 0, '4': 46, '5': 2, '6': 0, '7': 0, '8': 8, '9': 0, '10': 3, '11': 6, '12': 0, '13': 1, '14': 2, '15': 3, '16': 49, '17': 2}",122
COG,Congo,2020,"{'1': 1, '2': 0, '3': 1, '4': 5, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 7, '17': 1}",17
KOR,Republic of Korea,2020,"{'1': 1, '2': 0, '3': 5, '4': 18, '5': 0, '6': 0, '7': 3, '8': 5, '9': 0, '10': 6, '11': 3, '12': 1, '13': 8, '14': 0, '15': 0, '16': 22, '17': 8}",80
